"No.","Time","Delta","Source","Destination","Protocol","Length","Src Port","Dst Port","Info"
"12783","435.592949","0.032652","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12784","435.629828","0.036879","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12785","435.660813","0.030985","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12786","435.691665","0.030852","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12787","435.721913","0.030248","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12788","435.751119","0.029206","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12789","435.788744","0.037625","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12790","435.821899","0.033155","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12791","435.853840","0.031941","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12792","435.887352","0.033512","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12793","435.928670","0.041318","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12794","435.962319","0.033649","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12795","435.996896","0.034577","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12796","436.025570","0.028674","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12797","436.056138","0.030568","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12798","436.086480","0.030342","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12799","436.117780","0.031300","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12800","436.148394","0.030614","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12801","436.179139","0.030745","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12802","436.217173","0.038034","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12803","436.258060","0.040887","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12804","436.291913","0.033853","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12805","436.323594","0.031681","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12806","436.352731","0.029137","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12807","436.383114","0.030383","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12808","436.413501","0.030387","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12809","436.443108","0.029607","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12810","436.481409","0.038301","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12811","436.514083","0.032674","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12812","436.552869","0.038786","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12813","436.583377","0.030508","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12814","436.615294","0.031917","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12815","436.646952","0.031658","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12816","436.680256","0.033304","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12817","436.715989","0.035733","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12818","436.751639","0.035650","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12819","436.784115","0.032476","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12820","436.819280","0.035165","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12821","436.851737","0.032457","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
